id,user_id,competition_id,total_points,total_matches,exact_guesses,correct_trends,correct_diffs,wrong_guesses,current_rank,previous_rank,rank_change,active_league_id,updated_at,created_at,ovr
bzqhklmdog39yk9ns3ko47vt,ygamqbzkft5xho7zxupbdufu,m2u0vnxczjnj45pj6tvh6ard,47,24,1,15,4,4,1,1,0,,2026-02-26 19:18:00.234+00,2026-02-11 12:17:49.487+00,
dl126jufyfhphcsicu6pbcsw,ifbmej0sk8ejk98atrciydwf,m2u0vnxczjnj45pj6tvh6ard,2,1,0,1,0,0,5,5,0,,2026-02-26 19:18:00.351+00,2026-02-11 11:53:48.74+00,
dtpwysumeunnkqibx4cvhs64,wvbf66gsva8yllzbtcxsi676,m2u0vnxczjnj45pj6tvh6ard,35,24,0,13,3,8,3,3,0,,2026-02-26 19:18:00.243+00,2026-02-09 22:17:34.944+00,
dybel6qp2w7oc8w73qych4mb,wvbf66gsva8yllzbtcxsi676,nuy2mhu5y0bptjed2r4dfwtm,46,30,1,16,3,10,8,8,0,,2026-02-26 19:18:00.998+00,2026-02-02 21:40:16.271+00,
fm5zf23o9309s0dk5ioqci4a,c3izdiep1l0wzyma3z5bxn8a,nuy2mhu5y0bptjed2r4dfwtm,61,30,3,20,2,5,2,2,0,,2026-02-26 19:18:00.875+00,2026-02-07 13:32:59.293+00,
fm5zf23o9309s0dk5ioqcok3,tvp23g05v2peakoc9pw4ls5u,nuy2mhu5y0bptjed2r4dfwtm,47,26,0,19,3,4,7,7,0,,2026-02-26 19:18:00.991+00,2026-02-07 13:32:59.293+00,
hq5g0szy247cbgoqkidd4874,sralrgp7fq22ikn8nebtbkg3,nuy2mhu5y0bptjed2r4dfwtm,67,30,5,18,2,5,1,1,0,,2026-02-26 19:18:00.871+00,2026-02-06 07:58:08.526+00,
kd6rd6p80v67lvh6tu3g68gj,c3izdiep1l0wzyma3z5bxn8a,m2u0vnxczjnj45pj6tvh6ard,29,19,0,10,3,6,4,4,0,,2026-02-26 19:18:00.35+00,2026-02-15 00:08:20.307+00,
lo2ri3nz723jvqsmao13ffc8,sralrgp7fq22ikn8nebtbkg3,dlcf5rmik3eugzc2yg43mcc4,0,0,0,0,0,0,3,3,0,,2026-03-07 05:53:00.176+00,2026-02-26 20:08:23.875+00,
lteea8hcgktmyt6lgzoqmj1y,wvbf66gsva8yllzbtcxsi676,spsevlvb34lj4i4ny3aq4odq,48,34,3,15,1,15,4,4,0,,2026-03-07 01:07:01.216+00,2026-02-04 19:25:42.173+00,
lyaust6ndvkku08005lj3wy6,zh6zbcp4vhoimirdlabdmpd0,m2u0vnxczjnj45pj6tvh6ard,45,28,1,14,4,9,2,2,0,,2026-02-26 19:18:00.235+00,2026-02-09 21:56:21.886+00,
m4y3k6b4vydeh2dcpbvakesa,r8d9jgjxm339ygxducyv1p68,nuy2mhu5y0bptjed2r4dfwtm,54,29,3,15,3,8,4,4,0,,2026-02-26 19:18:00.922+00,2026-02-07 20:32:22.355+00,
mrpy3u9vevojneq7unf66e7u,zh6zbcp4vhoimirdlabdmpd0,nuy2mhu5y0bptjed2r4dfwtm,47,28,2,17,1,8,6,6,0,,2026-02-26 19:18:00.975+00,2026-02-02 15:01:55.215+00,
mukibnnpqwdlhx7ez9s9rxwi,s75srh7yvkprfft2oofqqiau,spsevlvb34lj4i4ny3aq4odq,15,10,1,5,0,4,8,8,0,,2026-03-07 01:07:01.406+00,2026-02-10 16:58:28.388+00,
nen8e6btgqm5hap3ywvkqpo8,y9wjuubrg4dxbdhx04lcm9vs,nuy2mhu5y0bptjed2r4dfwtm,12,8,0,3,2,3,13,13,0,,2026-02-26 19:18:01.135+00,2026-02-14 11:05:13.712+00,
octo48blk923ha2sttgousd9,ifbmej0sk8ejk98atrciydwf,nuy2mhu5y0bptjed2r4dfwtm,26,16,0,10,2,4,12,12,0,,2026-02-26 19:18:01.123+00,2026-02-02 15:25:33.101+00,
oztrm0bzvjm00ga1ey3rcgvt,tb08y7rz53phyd0dawphie81,nuy2mhu5y0bptjed2r4dfwtm,40,20,1,10,5,4,9,9,0,,2026-02-26 19:18:01.017+00,2026-02-13 15:27:42.638+00,
pz85zua9uk4swpdabiyozywj,wct2dpwdaebbcbdjtlreesz1,nuy2mhu5y0bptjed2r4dfwtm,33,18,1,11,2,4,11,11,0,,2026-02-26 19:18:01.053+00,2026-02-07 17:31:33.339+00,
q0ldjlx3jl41so0x668l24p4,zh6zbcp4vhoimirdlabdmpd0,spsevlvb34lj4i4ny3aq4odq,59,38,1,18,6,12,3,3,0,,2026-03-07 01:07:01.173+00,2026-02-04 18:46:20.972+00,
qlwoul9c37wpu2ymgpeqvudd,s75srh7yvkprfft2oofqqiau,nuy2mhu5y0bptjed2r4dfwtm,54,30,0,24,2,4,5,5,0,,2026-02-26 19:18:00.898+00,2026-02-09 19:57:01.411+00,
rj06kwr7perp8y1nl4y7lbqt,ygamqbzkft5xho7zxupbdufu,nuy2mhu5y0bptjed2r4dfwtm,56,30,2,17,4,7,3,3,0,,2026-02-26 19:18:00.878+00,2026-02-10 05:15:13.144+00,
sf42aex1recfqatc3s1x38tg,ygamqbzkft5xho7zxupbdufu,spsevlvb34lj4i4ny3aq4odq,20,11,1,3,3,4,6,6,0,,2026-03-07 01:07:01.275+00,2026-02-09 19:40:15.175+00,
vgb2wo95y2ksuc1576syybz5,zh6zbcp4vhoimirdlabdmpd0,dlcf5rmik3eugzc2yg43mcc4,16,13,0,5,2,6,2,2,0,,2026-03-07 05:53:00.164+00,2026-02-26 19:48:44.382+00,
vy0ymh6ubje05w73b5zx7i41,wct2dpwdaebbcbdjtlreesz1,spsevlvb34lj4i4ny3aq4odq,66,38,3,18,5,12,2,2,0,,2026-03-07 01:07:01.153+00,2026-02-07 17:29:57.797+00,
xed7vly7nk1nwf7kerr5l9hf,c3izdiep1l0wzyma3z5bxn8a,spsevlvb34lj4i4ny3aq4odq,72,44,2,16,10,16,1,1,0,,2026-03-07 01:07:01.1+00,2026-02-07 12:46:29.928+00,
xxgcg1qa8f3xbimat36tfapw,c3izdiep1l0wzyma3z5bxn8a,dlcf5rmik3eugzc2yg43mcc4,38,34,1,15,1,17,1,1,0,,2026-03-07 05:53:00.128+00,2026-03-02 18:27:36.006+00,
xyuupws7hkajln4ah1buo51v,r8d9jgjxm339ygxducyv1p68,spsevlvb34lj4i4ny3aq4odq,17,18,0,8,1,9,7,7,0,,2026-03-07 01:07:01.409+00,2026-02-05 22:15:41.142+00,
ywl0t62d79mp9dr0lys3hfkw,ifbmej0sk8ejk98atrciydwf,spsevlvb34lj4i4ny3aq4odq,42,23,1,5,4,6,5,5,0,,2026-03-07 01:07:01.197+00,2026-02-02 15:25:23.273+00,
zl63x3eq8t9wtxd3bttm3mit,nhnbqbq9qmo0ddp9dzovn8v0,nuy2mhu5y0bptjed2r4dfwtm,39,24,2,10,3,9,10,10,0,,2026-02-26 19:18:01.064+00,2026-02-09 16:11:07.959+00,
