id,alt,prefix,updated_at,created_at,url,thumbnail_u_r_l,filename,mime_type,filesize,width,height,focal_x,focal_y,sizes_thumbnail_url,sizes_thumbnail_width,sizes_thumbnail_height,sizes_thumbnail_mime_type,sizes_thumbnail_filesize,sizes_thumbnail_filename
a0k70x9xpca9tawgpqjmalln,Logo Povazska Bystrica,team_logo,2026-02-09 20:57:11.016+00,2026-02-09 20:57:10.699+00,/api/team-logos/file/mu51nmqdpouhu21dpfn65wf6.png,,mu51nmqdpouhu21dpfn65wf6.png,image/png,142663,237,150,50,50,/api/team-logos/file/mu51nmqdpouhu21dpfn65wf6.png,,,,,
a1be6kzt89psmsez5sxke8xs,hk_nitra,team_logo,2026-02-04 18:36:52.035+00,2026-02-04 18:36:51.764+00,/api/team-logos/file/hk_nitra.svg,,hk_nitra.svg,image/svg+xml,17945,412,411,,,/api/team-logos/file/hk_nitra.svg,,,,,
a8aqedpnahejx7rh18nqbx3c,hk_32_liptovsky_mikulas,team_logo,2026-02-04 18:36:23.433+00,2026-02-04 18:36:23.17+00,/api/team-logos/file/hk_32_liptovsky_mikulas.svg,,hk_32_liptovsky_mikulas.svg,image/svg+xml,13758,726,385,,,/api/team-logos/file/hk_32_liptovsky_mikulas.svg,,,,,
b9lyajjgddfbtw215cqzicd7,Logo Ottawa Senators,team_logo,2026-02-26 19:31:52.194+00,2026-02-26 19:31:51.691+00,/api/team-logos/file/psqwgs9qikf29dn411v9v9i5.png,,psqwgs9qikf29dn411v9v9i5.png,image/png,113210,188,150,50,50,/api/team-logos/file/psqwgs9qikf29dn411v9v9i5.png,,,,,
c2f6wnawi7geuk9dl27nkj7s,hc_presov,team_logo,2026-02-04 18:36:02.323+00,2026-02-04 18:36:02.09+00,/api/team-logos/file/hc_presov.svg,,hc_presov.svg,image/svg+xml,12823,513,512,,,/api/team-logos/file/hc_presov.svg,,,,,
c71jobtrwaphbr8vhwzqlia6,Logo Dubnica,team_logo,2026-02-09 20:57:08.125+00,2026-02-09 20:57:07.75+00,/api/team-logos/file/g0sy2lsidy074lcqh8m6actk.png,,g0sy2lsidy074lcqh8m6actk.png,image/png,33547,151,150,50,50,/api/team-logos/file/g0sy2lsidy074lcqh8m6actk.png,,,,,
cjdmfpzh3xm9701054ywly8u,den_square,team_logo,2026-01-24 22:33:22.601+00,2026-01-24 22:33:22.322+00,/api/team-logos/file/den_square.webp,/api/team-logos/file/den_square-400x400.webp,den_square.webp,image/webp,5942,1600,1600,50,50,/api/team-logos/file/den_square-400x400.webp,400,400,image/webp,906,den_square-400x400.webp
db0bipupdk5kleoy81iu8wqi,Logo Topolcany,team_logo,2026-02-09 20:57:12.565+00,2026-02-09 20:57:12.288+00,/api/team-logos/file/bq2443o8wyobrlcxrh20wkns.png,,bq2443o8wyobrlcxrh20wkns.png,image/png,92781,154,150,50,50,/api/team-logos/file/bq2443o8wyobrlcxrh20wkns.png,,,,,
e89vs07iiactk82i7jpp226e,hk_poprad,team_logo,2026-02-04 18:37:04.514+00,2026-02-04 18:37:04.138+00,/api/team-logos/file/hk_poprad.svg,,hk_poprad.svg,image/svg+xml,16384,27,44,,,/api/team-logos/file/hk_poprad.svg,,,,,
eiidnahgudmwig1hd3lc7j2x,Logo Columbus Blue Jackets,team_logo,2026-02-26 19:31:31.29+00,2026-02-26 19:31:30.799+00,/api/team-logos/file/mqy23z6042jyqoeekhep1lw8.png,,mqy23z6042jyqoeekhep1lw8.png,image/png,104798,174,150,50,50,/api/team-logos/file/mqy23z6042jyqoeekhep1lw8.png,,,,,
f4je88q78cavr9hfkbo499by,cze_square,team_logo,2026-01-24 22:33:38.023+00,2026-01-24 22:33:37.746+00,/api/team-logos/file/cze_square.webp,/api/team-logos/file/cze_square-400x400.webp,cze_square.webp,image/webp,6568,1024,1024,50,50,/api/team-logos/file/cze_square-400x400.webp,400,400,image/webp,2230,cze_square-400x400.webp
fg4m7tdfwnswqzonckwtendx,ita_square,team_logo,2026-01-24 22:30:35.671+00,2026-01-24 22:30:35.155+00,/api/team-logos/file/ita_square.webp,/api/team-logos/file/ita_square-400x400.webp,ita_square.webp,image/webp,5304,1600,1600,50,50,/api/team-logos/file/ita_square-400x400.webp,400,400,image/webp,588,ita_square-400x400.webp
fyto05gchwoahx8b3eyg5adr,Logo Boston Bruins,team_logo,2026-02-26 19:31:20.14+00,2026-02-26 19:31:19.746+00,/api/team-logos/file/b0w750spziaicvy21v91eyz0.png,,b0w750spziaicvy21v91eyz0.png,image/png,36310,150,150,50,50,/api/team-logos/file/b0w750spziaicvy21v91eyz0.png,,,,,
gf88ns8l9koarngwsm0s6jtq,fin_square,team_logo,2026-01-24 22:33:56.212+00,2026-01-24 22:33:55.916+00,/api/team-logos/file/fin_square-1.webp,/api/team-logos/file/fin_square-1-400x400.webp,fin_square-1.webp,image/webp,5662,1600,1600,50,50,/api/team-logos/file/fin_square-1-400x400.webp,400,400,image/webp,842,fin_square-1-400x400.webp
gl2w95rc5v9mh0bz8lxjgjcw,Logo HK Detva,team_logo,2026-02-09 20:57:09.211+00,2026-02-09 20:57:08.769+00,/api/team-logos/file/uiotopc9rliwwymvwzxsd91m.png,,uiotopc9rliwwymvwzxsd91m.png,image/png,29416,150,150,50,50,/api/team-logos/file/uiotopc9rliwwymvwzxsd91m.png,,,,,
h2dz6v3wxjie6jd24n036m98,Logo Buffalo Sabres,team_logo,2026-02-26 19:31:21.996+00,2026-02-26 19:31:21.451+00,/api/team-logos/file/deh7ba2i6sxj2x53rc61jb8w.png,,deh7ba2i6sxj2x53rc61jb8w.png,image/png,90381,150,150,50,50,/api/team-logos/file/deh7ba2i6sxj2x53rc61jb8w.png,,,,,
i6jfxtu6rp8ld124c3m85689,Logo Anaheim Ducks,team_logo,2026-02-26 19:31:18.3+00,2026-02-26 19:31:17.301+00,/api/team-logos/file/x88brhg7g7eu0uamw8kyhln3.png,,x88brhg7g7eu0uamw8kyhln3.png,image/png,100598,167,150,50,50,/api/team-logos/file/x88brhg7g7eu0uamw8kyhln3.png,,,,,
ibkciojq9n54a38ti8yycq0e,usa_square,team_logo,2026-01-24 22:25:58.958+00,2026-01-24 22:25:58.7+00,/api/team-logos/file/usa_square.webp,/api/team-logos/file/usa_square-400x400.webp,usa_square.webp,image/webp,12986,512,512,50,50,/api/team-logos/file/usa_square-400x400.webp,400,400,image/webp,9854,usa_square-400x400.webp
ifd340zyuvm7tgvdh2qd2gh9,Logo Dallas Stars,team_logo,2026-02-26 19:31:32.87+00,2026-02-26 19:31:32.451+00,/api/team-logos/file/p9xng0xkag4lg0tg9j5w7v2m.png,,p9xng0xkag4lg0tg9j5w7v2m.png,image/png,109610,182,150,50,50,/api/team-logos/file/p9xng0xkag4lg0tg9j5w7v2m.png,,,,,
iirb3if5ffokqpnp0r2avgz7,swe_square,team_logo,2026-01-24 22:27:01.966+00,2026-01-24 22:27:01.602+00,/api/team-logos/file/swe_square.webp,/api/team-logos/file/swe_square-400x400.webp,swe_square.webp,image/webp,6146,1600,1600,50,50,/api/team-logos/file/swe_square-400x400.webp,400,400,image/webp,842,swe_square-400x400.webp
ijjdpdfv8xifzsddknyrnd1f,Logo Nashville Predators,team_logo,2026-02-26 19:31:44.969+00,2026-02-26 19:31:44.523+00,/api/team-logos/file/iwzhtgwv4foi52si439lg30p.png,,iwzhtgwv4foi52si439lg30p.png,image/png,57696,267,150,50,50,/api/team-logos/file/iwzhtgwv4foi52si439lg30p.png,,,,,
imaiyv2pbzxw0c362mhup185,fra_square,team_logo,2026-01-24 22:32:54.034+00,2026-01-24 22:32:53.746+00,/api/team-logos/file/fra_square.webp,/api/team-logos/file/fra_square-400x400.webp,fra_square.webp,image/webp,5328,1600,1600,50,50,/api/team-logos/file/fra_square-400x400.webp,400,400,image/webp,516,fra_square-400x400.webp
ivrocihw7ldhkq8xw4sixx6c,Logo New Jersey Devils,team_logo,2026-02-26 19:31:46.534+00,2026-02-26 19:31:46.166+00,/api/team-logos/file/w91pf65qit7ll1qflmpgcwvy.png,,w91pf65qit7ll1qflmpgcwvy.png,image/png,88569,147,150,50,50,/api/team-logos/file/w91pf65qit7ll1qflmpgcwvy.png,,,,,
